CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,CHI,Rashaan Salaam,SalaRa00,1995-09-03,1995,1,REG,0,10,47,1,0,0,0,0,0,0,0,0,nan,nan
2,CHI,Rashaan Salaam,SalaRa00,1995-09-11,1995,2,REG,0,11,29,2,0,0,0,0,0,0,0,0,nan,nan
3,CHI,Rashaan Salaam,SalaRa00,1995-09-17,1995,3,REG,0,20,55,0,1,0,0,0,0,0,0,0,nan,nan
4,CHI,Rashaan Salaam,SalaRa00,1995-09-24,1995,4,REG,1,16,40,0,0,0,0,0,0,0,0,0,nan,nan
0,CHI,Rashaan Salaam,SalaRa00,,1995,5,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
5,CHI,Rashaan Salaam,SalaRa00,1995-10-08,1995,6,REG,1,28,105,0,1,0,0,0,0,0,0,0,nan,nan
6,CHI,Rashaan Salaam,SalaRa00,1995-10-15,1995,7,REG,1,20,79,0,3,2,25,0,0,0,0,0,nan,nan
7,CHI,Rashaan Salaam,SalaRa00,1995-10-22,1995,8,REG,1,29,109,1,0,0,0,0,0,0,0,0,nan,nan
8,CHI,Rashaan Salaam,SalaRa00,1995-10-30,1995,9,REG,1,14,36,0,1,1,4,0,0,0,0,0,nan,nan
9,CHI,Rashaan Salaam,SalaRa00,1995-11-05,1995,10,REG,1,21,63,0,0,0,0,0,0,0,0,0,nan,nan
10,CHI,Rashaan Salaam,SalaRa00,1995-11-12,1995,11,REG,0,13,54,2,0,0,0,0,0,0,0,0,nan,nan
11,CHI,Rashaan Salaam,SalaRa00,1995-11-19,1995,12,REG,1,12,17,0,0,0,0,0,0,0,0,0,nan,nan
12,CHI,Rashaan Salaam,SalaRa00,1995-11-26,1995,13,REG,1,16,76,0,3,2,14,0,0,0,0,0,nan,nan
13,CHI,Rashaan Salaam,SalaRa00,1995-12-04,1995,14,REG,1,7,3,0,1,1,6,0,0,0,0,0,nan,nan
14,CHI,Rashaan Salaam,SalaRa00,1995-12-10,1995,15,REG,0,22,105,1,0,0,0,0,0,0,0,0,nan,nan
15,CHI,Rashaan Salaam,SalaRa00,1995-12-17,1995,16,REG,1,27,134,3,3,1,7,0,0,0,0,0,nan,nan
16,CHI,Rashaan Salaam,SalaRa00,1995-12-24,1995,17,REG,1,30,122,0,0,0,0,0,0,0,0,0,nan,nan
0,CHI,Rashaan Salaam,SalaRa00,1996-09-02,1996,1,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,CHI,Rashaan Salaam,SalaRa00,1996-09-08,1996,2,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,CHI,Rashaan Salaam,SalaRa00,1996-09-15,1996,3,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
17,CHI,Rashaan Salaam,SalaRa00,1996-09-22,1996,4,REG,1,10,27,0,2,2,13,0,0,0,0,0,nan,nan
18,CHI,Rashaan Salaam,SalaRa00,1996-09-29,1996,5,REG,1,24,77,0,2,1,11,1,0,0,0,0,nan,nan
19,CHI,Rashaan Salaam,SalaRa00,1996-10-06,1996,6,REG,1,20,43,0,1,1,2,0,0,0,0,0,nan,nan
20,CHI,Rashaan Salaam,SalaRa00,1996-10-13,1996,7,REG,1,14,40,0,1,1,1,0,0,0,0,0,nan,nan
0,CHI,Rashaan Salaam,SalaRa00,,1996,8,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
21,CHI,Rashaan Salaam,SalaRa00,1996-10-28,1996,9,REG,1,11,36,1,0,0,0,0,0,0,0,0,nan,nan
22,CHI,Rashaan Salaam,SalaRa00,1996-11-03,1996,10,REG,0,16,54,0,0,0,0,0,0,0,0,0,nan,nan
23,CHI,Rashaan Salaam,SalaRa00,1996-11-10,1996,11,REG,1,11,53,0,1,1,9,0,0,0,0,0,nan,nan
0,CHI,Rashaan Salaam,SalaRa00,1996-11-17,1996,12,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
24,CHI,Rashaan Salaam,SalaRa00,1996-11-24,1996,13,REG,0,6,9,0,0,0,0,0,0,0,0,0,nan,nan
25,CHI,Rashaan Salaam,SalaRa00,1996-12-01,1996,14,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
26,CHI,Rashaan Salaam,SalaRa00,1996-12-08,1996,15,REG,0,19,115,2,0,0,0,0,0,0,0,0,nan,nan
27,CHI,Rashaan Salaam,SalaRa00,1996-12-14,1996,16,REG,0,5,7,0,0,0,0,0,0,0,0,0,nan,nan
28,CHI,Rashaan Salaam,SalaRa00,1996-12-22,1996,17,REG,0,7,35,0,1,1,8,0,0,0,0,0,nan,nan
29,CHI,Rashaan Salaam,SalaRa00,1997-09-01,1997,1,REG,1,16,41,0,2,2,20,0,0,0,0,0,nan,nan
