CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,SEA,George Holani,HolaGe00,2024-09-08,2024,1,DNP,0,0,0,0,0,0,0,0,0,0
1,SEA,George Holani,HolaGe00,2024-09-15,2024,2,REG,0,0,0,0,0,0,0,0,0,6
0,SEA,George Holani,HolaGe00,2024-09-22,2024,3,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,George Holani,HolaGe00,2024-09-30,2024,4,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,George Holani,HolaGe00,2024-10-06,2024,5,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,George Holani,HolaGe00,2024-10-10,2024,6,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,George Holani,HolaGe00,2024-10-20,2024,7,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,George Holani,HolaGe00,2024-10-27,2024,8,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,George Holani,HolaGe00,2024-11-03,2024,9,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,George Holani,HolaGe00,1970-01-01,2024,10,BYE,0,0,0,0,0,0,0,0,0,0
0,SEA,George Holani,HolaGe00,2024-11-17,2024,11,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,George Holani,HolaGe00,2024-11-24,2024,12,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,George Holani,HolaGe00,2024-12-01,2024,13,DNP,0,0,0,0,0,0,0,0,0,0
2,SEA,George Holani,HolaGe00,2024-12-08,2024,14,REG,0,0,0,0,1,1,-1,0,2,8
3,SEA,George Holani,HolaGe00,2024-12-15,2024,15,REG,0,3,10,0,0,0,0,0,3,4
0,SEA,George Holani,HolaGe00,2024-12-22,2024,16,DNP,0,0,0,0,0,0,0,0,0,0
4,SEA,George Holani,HolaGe00,2024-12-26,2024,17,REG,0,0,0,0,0,0,0,0,0,10
5,SEA,George Holani,HolaGe00,2025-01-05,2024,18,REG,0,0,0,0,0,0,0,0,0,8
6,SEA,George Holani,HolaGe00,2025-09-07,2025,1,REG,0,0,0,0,0,0,0,0,0,15
