CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,DET,Bo Scarbrough,ScarBo01,2019-09-08,2019,1,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Bo Scarbrough,ScarBo01,2019-09-15,2019,2,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Bo Scarbrough,ScarBo01,2019-09-22,2019,3,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Bo Scarbrough,ScarBo01,2019-09-29,2019,4,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Bo Scarbrough,ScarBo01,1970-01-01,2019,5,BYE,0,0,0,0,0,0,0,0,0,0
0,DET,Bo Scarbrough,ScarBo01,2019-10-14,2019,6,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Bo Scarbrough,ScarBo01,2019-10-20,2019,7,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Bo Scarbrough,ScarBo01,2019-10-27,2019,8,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Bo Scarbrough,ScarBo01,2019-11-03,2019,9,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Bo Scarbrough,ScarBo01,2019-11-10,2019,10,DNP,0,0,0,0,0,0,0,0,0,0
1,DET,Bo Scarbrough,ScarBo01,2019-11-17,2019,11,REG,1,14,55,1,0,0,0,0,31,0
2,DET,Bo Scarbrough,ScarBo01,2019-11-24,2019,12,REG,1,18,98,0,1,0,0,0,37,0
3,DET,Bo Scarbrough,ScarBo01,2019-11-28,2019,13,REG,1,21,83,0,0,0,0,0,34,0
4,DET,Bo Scarbrough,ScarBo01,2019-12-08,2019,14,REG,1,19,65,0,3,1,5,0,34,0
0,DET,Bo Scarbrough,ScarBo01,2019-12-15,2019,15,DNP,0,0,0,0,0,0,0,0,0,0
5,DET,Bo Scarbrough,ScarBo01,2019-12-22,2019,16,REG,1,8,34,0,0,0,0,0,14,0
6,DET,Bo Scarbrough,ScarBo01,2019-12-29,2019,17,REG,0,9,42,0,0,0,0,0,17,0
0,SEA,Bo Scarbrough,ScarBo01,2020-09-13,2020,1,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Bo Scarbrough,ScarBo01,2020-09-20,2020,2,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Bo Scarbrough,ScarBo01,2020-09-27,2020,3,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Bo Scarbrough,ScarBo01,2020-10-04,2020,4,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Bo Scarbrough,ScarBo01,2020-10-11,2020,5,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Bo Scarbrough,ScarBo01,1970-01-01,2020,6,BYE,0,0,0,0,0,0,0,0,0,0
0,SEA,Bo Scarbrough,ScarBo01,2020-10-25,2020,7,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Bo Scarbrough,ScarBo01,2020-11-01,2020,8,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Bo Scarbrough,ScarBo01,2020-11-08,2020,9,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Bo Scarbrough,ScarBo01,2020-11-15,2020,10,DNP,0,0,0,0,0,0,0,0,0,0
7,SEA,Bo Scarbrough,ScarBo01,2020-11-19,2020,11,REG,0,6,31,0,0,0,0,0,12,0
0,SEA,Bo Scarbrough,ScarBo01,2020-11-30,2020,12,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Bo Scarbrough,ScarBo01,2020-12-06,2020,13,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Bo Scarbrough,ScarBo01,2020-12-13,2020,14,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Bo Scarbrough,ScarBo01,2020-12-20,2020,15,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Bo Scarbrough,ScarBo01,2020-12-27,2020,16,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Bo Scarbrough,ScarBo01,2021-01-03,2020,17,DNP,0,0,0,0,0,0,0,0,0,0
