CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,DAL,Curvin Richards,RichCu00,1991-09-01,1991,1,REG,0,0,0,0,0,0,0,0,0,0
2,DAL,Curvin Richards,RichCu00,1991-09-09,1991,2,REG,0,2,4,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1991-09-15,1991,3,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1991-09-22,1991,4,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1991-09-29,1991,5,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1991-10-06,1991,6,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1991-10-13,1991,7,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,,1991,8,BYE,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1991-10-27,1991,9,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1991-11-03,1991,10,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1991-11-10,1991,11,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1991-11-17,1991,12,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1991-11-24,1991,13,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1991-11-28,1991,14,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1991-12-08,1991,15,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1991-12-15,1991,16,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1991-12-22,1991,17,DNP,0,0,0,0,0,0,0,0,0,0
3,DAL,Curvin Richards,RichCu00,1992-09-07,1992,1,REG,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1992-09-13,1992,2,DNP,0,0,0,0,0,0,0,0,0,0
4,DAL,Curvin Richards,RichCu00,1992-09-20,1992,3,REG,0,7,32,0,1,1,4,0,0,0
0,DAL,Curvin Richards,RichCu00,,1992,4,BYE,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1992-10-05,1992,5,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Curvin Richards,RichCu00,1992-10-11,1992,6,DNP,0,0,0,0,0,0,0,0,0,0
